
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
3C:1E:04:D8:D3:18, 2018-06-20 09:37:57, 2018-06-20 09:37:57,  8,  54, WPA2 WPA, CCMP TKIP,PSK, -87,        1,        0,   0.  0.  0.  0,   6, D8D314, 
00:7F:20:C1:B6:78, 2018-06-20 09:37:59, 2018-06-20 09:37:59, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -86,        1,        0,   0.  0.  0.  0,   6, C1B670, 
00:84:C9:97:F6:28, 2018-06-20 09:37:56, 2018-06-20 09:38:00,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -85,        2,        0,   0.  0.  0.  0,   6, 97F620, 
18:64:72:36:EE:81, 2018-06-20 09:38:00, 2018-06-20 09:38:00,  1,  54, OPN, ,   , -85,        1,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
18:64:72:36:8D:60, 2018-06-20 09:37:59, 2018-06-20 09:37:59, 11,  54, WPA2, CCMP, MGT, -84,        1,        0,   0.  0.  0.  0,   7, Stevens, 
18:64:72:36:75:82, 2018-06-20 09:37:59, 2018-06-20 09:37:59, 11,  54, WPA2, CCMP,PSK, -84,        1,        0,   0.  0.  0.  0,  13, Stevens-Media, 
18:64:72:36:79:80, 2018-06-20 09:38:00, 2018-06-20 09:38:00,  1,  54, WPA2, CCMP, MGT, -84,        1,        0,   0.  0.  0.  0,   7, Stevens, 
18:64:72:37:17:41, 2018-06-20 09:38:00, 2018-06-20 09:38:00,  1,  54, OPN, ,   , -83,        1,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
18:64:72:37:14:00, 2018-06-20 09:37:56, 2018-06-20 09:38:00,  1,  54, WPA2, CCMP, MGT, -82,        4,        0,   0.  0.  0.  0,   7, Stevens, 
18:64:72:36:77:42, 2018-06-20 09:37:56, 2018-06-20 09:38:00,  1,  54, WPA2, CCMP,PSK, -82,        6,        0,   0.  0.  0.  0,  13, Stevens-Media, 
18:64:72:36:77:41, 2018-06-20 09:37:56, 2018-06-20 09:38:00,  1,  54, OPN, ,   , -81,        3,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
18:64:72:36:79:82, 2018-06-20 09:37:56, 2018-06-20 09:38:00,  1,  54, WPA2, CCMP,PSK, -81,        2,        0,   0.  0.  0.  0,  13, Stevens-Media, 
18:64:72:36:8D:62, 2018-06-20 09:37:59, 2018-06-20 09:38:01, 11,  54, WPA2, CCMP,PSK, -81,        3,        0,   0.  0.  0.  0,  13, Stevens-Media, 
18:64:72:36:8D:61, 2018-06-20 09:37:59, 2018-06-20 09:37:59, 11,  54, OPN, ,   , -81,        1,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
18:64:72:37:16:A2, 2018-06-20 09:37:59, 2018-06-20 09:37:59,  6,  54, WPA2, CCMP,PSK, -81,        0,        0,   0.  0.  0.  0,  13, Stevens-Media, 
18:64:72:37:14:01, 2018-06-20 09:37:56, 2018-06-20 09:38:02,  1,  54, OPN, ,   , -80,        7,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
18:64:72:37:14:02, 2018-06-20 09:37:56, 2018-06-20 09:38:01,  1,  54, WPA2, CCMP,PSK, -80,        5,        0,   0.  0.  0.  0,  13, Stevens-Media, 
18:64:72:36:79:81, 2018-06-20 09:37:56, 2018-06-20 09:38:00,  1,  54, OPN, ,   , -80,        3,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
C4:12:F5:9D:E9:90, 2018-06-20 09:38:01, 2018-06-20 09:38:01,  9,  54, WPA2, CCMP TKIP,PSK, -80,        0,        0,   0.  0.  0.  0,  11, FATANG 2.4G, 
18:64:72:36:84:A2, 2018-06-20 09:37:59, 2018-06-20 09:37:59, 11,  54, WPA2, CCMP,PSK, -79,        2,        0,   0.  0.  0.  0,  13, Stevens-Media, 
18:64:72:37:13:01, 2018-06-20 09:37:56, 2018-06-20 09:38:02,  1,  54, OPN, ,   , -77,        9,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
F0:5C:19:B6:46:80, 2018-06-20 09:37:56, 2018-06-20 09:38:01,  6,  54, OPN, ,   , -76,        1,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
18:64:72:37:13:00, 2018-06-20 09:38:00, 2018-06-20 09:38:00,  1,  54, WPA2, CCMP, MGT, -76,        1,        0,   0.  0.  0.  0,   7, Stevens, 
18:64:72:37:13:02, 2018-06-20 09:37:56, 2018-06-20 09:38:02,  1,  54, WPA2, CCMP,PSK, -76,        7,        0,   0.  0.  0.  0,  13, Stevens-Media, 
F0:5C:19:B6:46:82, 2018-06-20 09:38:00, 2018-06-20 09:38:00,  6,  54, WPA2, CCMP,PSK, -75,        1,        0,   0.  0.  0.  0,  13, Stevens-Media, 
F0:5C:19:B6:46:81, 2018-06-20 09:37:59, 2018-06-20 09:37:59,  6,  54, WPA2, CCMP, MGT, -74,        2,        1,   0.  0.  0.  0,   7, Stevens, 
18:64:72:37:25:A1, 2018-06-20 09:37:59, 2018-06-20 09:37:59, 11,  54, OPN, ,   , -63,        3,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
18:64:72:37:25:A2, 2018-06-20 09:37:58, 2018-06-20 09:38:01, 11,  54, WPA2, CCMP,PSK, -60,        5,        0,   0.  0.  0.  0,  13, Stevens-Media, 
18:64:72:37:15:C2, 2018-06-20 09:37:56, 2018-06-20 09:38:00, 11,  54, WPA2, CCMP,PSK, -58,        6,        0,   0.  0.  0.  0,  13, Stevens-Media, 
18:64:72:37:15:C1, 2018-06-20 09:37:56, 2018-06-20 09:38:00, 11,  54, OPN, ,   , -57,        4,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
18:64:72:37:25:A0, 2018-06-20 09:37:59, 2018-06-20 09:37:59, 11,  54, WPA2, CCMP, MGT, -57,        2,        0,   0.  0.  0.  0,   7, Stevens, 
B8:27:EB:B8:7F:44, 2018-06-20 09:37:56, 2018-06-20 09:38:02,  1,  54, WPA, CCMP TKIP,PSK, -57,        7,        0,   0.  0.  0.  0,  16, ScreenlyOSE-tb8h, 
18:64:72:36:76:40, 2018-06-20 09:37:59, 2018-06-20 09:37:59, 11,  54, WPA2, CCMP, MGT, -55,        1,        0,   0.  0.  0.  0,   7, Stevens, 
18:64:72:36:76:42, 2018-06-20 09:37:59, 2018-06-20 09:38:00, 11,  54, WPA2, CCMP,PSK, -54,        3,        0,   0.  0.  0.  0,  13, Stevens-Media, 
18:64:72:36:76:41, 2018-06-20 09:37:58, 2018-06-20 09:38:00, 11,  54, OPN, ,   , -53,        4,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
18:64:72:37:15:C0, 2018-06-20 09:37:59, 2018-06-20 09:37:59, 11,  54, WPA2, CCMP, MGT, -53,        0,        0,   0.  0.  0.  0,   7, Stevens, 
AA:6B:AD:4D:B2:6B, 2018-06-20 09:37:56, 2018-06-20 09:37:59,  6,  54, WPA2, CCMP,PSK, -51,        0,        0,   0.  0.  0.  0,  26, DIRECT-6b-HP M402 LaserJet, 
18:64:72:38:1B:C1, 2018-06-20 09:37:56, 2018-06-20 09:38:01,  1,  54, OPN, ,   , -50,        9,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
18:64:72:38:1B:C2, 2018-06-20 09:37:56, 2018-06-20 09:38:01,  1,  54, WPA2, CCMP,PSK, -49,       10,        0,   0.  0.  0.  0,  13, Stevens-Media, 
C0:C1:C0:A2:36:BF, 2018-06-20 09:37:56, 2018-06-20 09:38:01,  6,  54, WPA2, CCMP,PSK, -48,        5,        0,   0.  0.  0.  0,  31, MSC Lab Wireless Hacking Router, 
18:64:72:38:1B:C0, 2018-06-20 09:37:56, 2018-06-20 09:38:00,  1,  54, WPA2, CCMP, MGT, -35,        3,       18,   0.  0.  0.  0,   7, Stevens, 
00:27:22:A0:89:17, 2018-06-20 09:37:56, 2018-06-20 09:38:01,  7,  54, WPA, CCMP TKIP,PSK, -35,       11,        0,   0.  0.  0.  0,  13, DLSensorNET01, 
66:2A:2F:53:7C:99, 2018-06-20 09:37:59, 2018-06-20 09:37:59, 11,  11, OPN, ,   ,  -1,        1,        0,   0.  0.  0.  0,   5, SETUP, 
18:64:72:36:84:A0, 2018-06-20 09:37:59, 2018-06-20 09:37:59, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
08:6A:0A:4D:97:AB, 2018-06-20 09:37:56, 2018-06-20 09:38:00, -73,        4, (not associated) ,dell_device
CC:3D:82:11:F5:76, 2018-06-20 09:38:01, 2018-06-20 09:38:01, -64,        2, (not associated) ,
E6:BC:38:4E:B1:95, 2018-06-20 09:38:01, 2018-06-20 09:38:01, -50,        1, (not associated) ,
88:78:73:2F:94:19, 2018-06-20 09:37:59, 2018-06-20 09:37:59, -41,        1, (not associated) ,
54:27:1E:B0:63:A5, 2018-06-20 09:37:56, 2018-06-20 09:38:00, -17,       18, 18:64:72:38:1B:C0,
00:28:F8:75:C3:E4, 2018-06-20 09:38:02, 2018-06-20 09:38:02, -84,        2, (not associated) ,maimai

